date,b30ret,b20ret,b10ret,b7ret,b5ret,b2ret,b1ret,t90ret,t30ret,cpiret,wti_price,fedfunds,nfci,anfci,nfci_risk,nfci_credit,nfci_leverage,nfci_nonfinancial_leverage,gdp_growth,ppi,trade_balance,unrate,usd_index,labor_force_women,health_services_emp,homeownership_rate,working_age_pop,migration_fear_idx,labor_force_part,labor_force_men
1995-09-30,0.026338,0.024099,0.018473,0.018686,0.012034,0.014876,0.014344,0.014303,0.013529,0.00459,17.86,5.796666666666667,-0.696617820074825,-0.6542404879725676,-0.7680424096217441,-0.1568332305812652,-0.2958139561021274,-0.1764918720583754,0.0134715790020758,125.2,-13818544718.0,5.666666666666667,83.81,59.0,13438,64.8,167461800,102.5860752,66.6,75.0
1995-12-31,0.088027,0.079077,0.057043,0.047466,0.039601,0.026584,0.018646,0.014767,0.013767,0.001958,18.15,5.72,-0.7338727805778483,-0.683724141204645,-0.8031060658198529,-0.1100396203326872,-0.5689108661001914,-0.170258367869117,0.0116438298218499,125.7,-8421468285.0,5.566666666666666,84.56,58.9,13545,65.1,167954100,87.89882855,66.4,74.6
1996-03-31,-0.082611,-0.06425,-0.032801,-0.029142,-0.015013,0.00206,0.009665,0.012634,0.012178,0.014332,19.76,5.363333333333333,-0.7838205933710032,-0.802707406374107,-0.8245850025009539,-0.1731854023459131,-0.7173199167191687,-0.1608380417944402,0.0123359201171913,126.4,-8859004791.0,5.533333333333334,86.73,59.0,13647,65.3,168276700,103.1692492,66.6,74.9
1996-06-30,-0.012895,-0.002029,-0.008643,0.002184,0.001951,0.009555,0.012808,0.01313,0.012614,0.006423,21.69666666666667,5.243333333333333,-0.7034285296412359,-0.6676580240552549,-0.7163446738748415,-0.244458713286488,-0.5002626682642781,-0.1618356716092925,0.0208899623154088,128.0,-12249696191.0,5.5,87.87333333333333,59.0,13751,65.4,168761800,102.263694,66.7,75.0
1996-09-30,0.009234,0.016754,0.018081,0.016509,0.017116,0.016904,0.016043,0.014193,0.01305,0.00702,22.39,5.306666666666667,-0.727770149599475,-0.6391431192901891,-0.7238796745887158,-0.2704788308080838,-0.5962324472803758,-0.0897670334089277,0.0122706290676772,128.2,-17580493314.0,5.266666666666667,86.73333333333333,59.5,13834,65.4,169229700,114.2735399,66.9,75.0
1996-12-31,0.044662,0.049521,0.034593,0.027672,0.025086,0.019334,0.01545,0.013123,0.012644,0.00507,24.606666666666666,5.28,-0.7566162077352477,-0.8355686161165479,-0.7292579185857726,-0.2454988568593694,-0.9226914248754718,-0.0408542341478918,0.0157860729654693,129.1,-13236570314.0,5.333333333333333,87.84333333333335,59.8,13949,65.4,169833600,109.1705351,67.0,74.8
1997-03-31,-0.045983,-0.030786,-0.021438,-0.012109,-0.008585,0.005363,0.010677,0.012755,0.012161,0.008828,22.76,5.276666666666666,-0.7137456973589704,-0.7940743060659797,-0.6635509967182089,-0.2169261484589064,-1.1309007981590649,0.0102276839237929,0.0124560354034028,127.3,-9337828650.0,5.233333333333333,94.21666666666664,59.8,14055,65.5,170642100,95.68115102,67.1,75.0
1997-06-30,0.057841,0.055063,0.048469,0.038723,0.03225,0.022922,0.018833,0.013973,0.012371,0.001875,19.926666666666662,5.523333333333333,-0.6399929208932509,-0.5700129116480772,-0.5609779256758343,-0.2041926772389861,-1.0772682374729785,0.0773390358338671,0.018674691231433,127.2,-13503499423.0,5.0,95.9,59.7,14168,65.7,171077100,101.5489786,67.1,75.0
1997-09-30,0.063915,0.058084,0.042015,0.038172,0.030046,0.02013,0.016632,0.013793,0.012984,0.005615,19.80333333333333,5.533333333333334,-0.6470742430425636,-0.5648944157730323,-0.5747870297110322,-0.2128479797120971,-1.009002191486279,0.0969223670413398,0.0169035048847698,127.5,-19256056239.0,4.866666666666667,98.58333333333331,60.0,14270,65.8,171521500,98.21265866,67.1,74.9
1997-12-31,0.077129,0.067143,0.041176,0.033516,0.023707,0.01764,0.014894,0.013325,0.012363,0.00062,19.95,5.506666666666667,-0.5143791896719511,-0.4538074660560344,-0.3924950739706172,-0.1488356090224882,-1.078923214317845,0.1490055174228821,0.0118995851583252,126.8,-15514383268.0,4.666666666666667,97.69333333333334,60.1,14364,65.8,172008400,78.84186584,67.2,74.9
