Friday_of_Week,NFCI,ANFCI,Risk,Credit,Leverage,Nonfinancial_Leverage
01/30/2015,-0.504816639394377,-0.591387890316152,-0.485601131514301,-0.110986689551077,-0.278555195103159,-0.91193360259204
02/06/2015,-0.506253994756123,-0.590054659524921,-0.48475993990115,-0.109286160431653,-0.294649337823625,-0.907774954191771
02/13/2015,-0.510907686406971,-0.595236702066712,-0.487863442109543,-0.110225567000443,-0.306942901810984,-0.903626236153909
02/20/2015,-0.517696084047605,-0.604373811649816,-0.494276074416847,-0.112655415758889,-0.314718009589506,-0.89946783350217
02/27/2015,-0.524823730372686,-0.612264440738464,-0.502673506501025,-0.115485665648612,-0.317266999086578,-0.895282634623925
03/06/2015,-0.529882554068645,-0.613753036395793,-0.51120150770608,-0.117344568115839,-0.314775401008235,-0.89105600346354
03/13/2015,-0.533649299587552,-0.610635873060617,-0.519601942822636,-0.118369965001741,-0.307662269203038,-0.886775138152716
03/20/2015,-0.536887470911748,-0.60642108007312,-0.527179607205803,-0.119128312770121,-0.296941840215246,-0.882428875213631
03/27/2015,-0.538702422857509,-0.603843002744536,-0.534577382142982,-0.118217870525682,-0.2834996462078,-0.878007874608114
04/03/2015,-0.540329196007785,-0.604598361616082,-0.540941208332534,-0.117222997453624,-0.26877082971656,-0.873504308989897
04/10/2015,-0.542370157326858,-0.607702494142356,-0.54701875602335,-0.116211033544618,-0.253868346134771,-0.868910173681373
04/17/2015,-0.543727101458954,-0.608216852859571,-0.552197925861247,-0.114787487957285,-0.240320389341004,-0.864221100658801
04/24/2015,-0.545713662291062,-0.606158230717407,-0.556434378061081,-0.114166963565012,-0.229237152760638,-0.859434457514969
05/01/2015,-0.546653543742487,-0.598305153889838,-0.558923207748908,-0.113581411305598,-0.221783709801189,-0.854549353423224
05/08/2015,-0.546580759161316,-0.587970129373012,-0.559963846505777,-0.112922877764112,-0.218298755559917,-0.849567708886452
05/15/2015,-0.54700434419726,-0.582008579261063,-0.560482611299067,-0.112672647070915,-0.218713335292459,-0.844493755513429
05/22/2015,-0.54759460103434,-0.580985935839034,-0.560614320633759,-0.112303371497674,-0.222740660745236,-0.839333879899705
