date,b30ret,b20ret,b10ret,b7ret,b5ret,b2ret,b1ret,t90ret,t30ret,cpiret,wti_price,fedfunds,nfci,anfci,nfci_risk,nfci_credit,nfci_leverage,nfci_nonfinancial_leverage,gdp,gdp_growth,ppi,trade_balance,unrate,usd_index
1992-09-30,0.0609,0.06667,0.06657,0.063588,0.057864,0.032359,0.020542,0.010188,0.008092,0.007846,21.666666666666668,3.2566666666666664,-0.9024061943289828,-0.9875926029936875,-0.9956576810845598,-0.1820767730892149,-0.7491338899211224,-1.1263529229100961,6566.641,0.014817108894267905,118.0,-9430678379.0,7.633333333333333,80.63
1992-12-31,0.012424,0.010626,0.001022,-0.007161,-0.011252,0.001694,0.005882,0.007653,0.006918,0.004247,20.48,3.0366666666666666,-0.748802485700633,-0.8004143540233108,-0.7626583084515661,-0.16818513643878139,-0.8852073120504234,-1.1593223272642645,6680.803,0.017385144094218097,117.6,-7396282460.0,7.366666666666667,90.27666666666666
1993-03-31,0.067719,0.062656,0.060835,0.05662,0.051365,0.023307,0.013823,0.008014,0.007099,0.01198,19.813333333333333,3.0399999999999996,-0.9547732845693552,-1.0859839104486524,-0.9949821390608314,-0.20428904347312368,-1.2564367250056776,-1.1140288145787223,6729.459,0.0072829568541386,118.7,-8626420378.0,7.133333333333333,92.79333333333334
1993-06-30,0.048769,0.055849,0.039523,0.034627,0.02474,0.01026,0.008697,0.007698,0.007314,0.005572,19.763333333333332,3.0,-0.9933139742356379,-1.1010498345098476,-1.0366228174023016,-0.28754894217675747,-1.1440273592325338,-1.0729023748993394,6808.939,0.011810756258415545,119.5,-11751672789.0,7.066666666666666,90.73333333333333
1993-09-30,0.0835,0.056972,0.037846,0.032313,0.025666,0.014234,0.010629,0.008275,0.007306,0.004848,17.8,3.06,-1.0772379252158024,-1.1821373132121185,-1.1287787642905331,-0.30334514423052145,-1.250230354078639,-1.0209800175112078,6882.098,0.010744552124787754,118.7,-12799117243.0,6.8,94.04666666666667
1993-12-31,-0.025912,-0.014188,-0.009,0.001229,-0.003082,0.005378,0.007534,0.008105,0.006966,0.004824,16.426666666666666,2.99,-0.9757956984088363,-0.9901757443391156,-1.0631247149976493,-0.31723628409931065,-0.6814405171771646,-0.9411052834754698,7013.738,0.019127888036468033,118.6,-7321570990.0,6.633333333333333,96.04333333333334
1994-03-31,-0.077502,-0.055918,-0.0523,-0.047529,-0.027232,-0.004924,0.002919,0.007708,0.007109,0.009601,14.829999999999998,3.2133333333333334,-0.9401949722861837,-0.8931879948113273,-0.9849231358225691,-0.4942874245561892,-0.2970959566557841,-0.8011516413634907,7115.652,0.014530625466762537,119.7,-8702494912.0,6.566666666666666,94.39999999999999
1994-06-30,-0.042851,-0.029791,-0.016981,-0.01142,-0.011254,-0.001466,0.004819,0.009919,0.009006,0.005435,17.790000000000003,3.94,-0.728536625455267,-0.6412677733308515,-0.6909591959292016,-0.41093745988251623,-0.4735332879399765,-0.645288598694107,7246.931,0.018449328325780945,120.5,-14012467521.0,6.2,91.42
1994-09-30,-0.014775,-0.003264,-0.001272,0.004126,0.005452,0.008884,0.010694,0.011247,0.010131,0.00946,18.496666666666666,4.486666666666667,-0.7617912193427635,-0.7116454825621291,-0.7746054040468225,-0.3419464443595702,-0.3346654853006314,-0.4699637461975348,7331.075,0.011610984015164583,121.0,-15262503908.0,6.0,89.14
1994-12-31,0.012637,0.016559,0.005906,-0.000124,-0.003045,-0.001381,0.00463,0.01324,0.012009,0.002008,17.650000000000002,5.166666666666667,-0.5274984497897767,-0.3489611963634471,-0.5483435951298667,-0.2556534480601311,0.21860960030039323,-0.3150076530031235,7455.288,0.016943354146561118,121.9,-10361030391.0,5.633333333333333,87.85000000000001
